,Open,High,Low,Close,Volume
2019.09.03 01:00,1528.37000,1528.55000,1525.74000,1526.39000,57960
2019.09.03 02:00,1526.39000,1527.11000,1525.70000,1526.31000,49630
2019.09.03 03:00,1526.30000,1526.30000,1524.32000,1525.22000,140000
2019.09.03 04:00,1525.23000,1526.07000,1524.07000,1524.95000,295020
2019.09.03 05:00,1524.95000,1525.68000,1522.58000,1522.70000,141150
2019.09.03 06:00,1522.70000,1524.54000,1521.70000,1523.56000,146200
2019.09.03 07:00,1523.53000,1525.40000,1523.44000,1524.46000,73270
2019.09.03 08:00,1524.46000,1526.95000,1524.26000,1526.63000,152650
2019.09.03 09:00,1526.62000,1528.16000,1524.08000,1526.74000,377740
2019.09.03 10:00,1526.74000,1531.37000,1525.94000,1530.71000,470150
2019.09.03 11:00,1530.69000,1533.16000,1530.04000,1532.34000,364740
2019.09.03 12:00,1532.34000,1533.90000,1530.90000,1532.90000,252200
2019.09.03 13:00,1532.89000,1533.18000,1530.30000,1530.43000,214580
2019.09.03 14:00,1530.42000,1531.40000,1529.09000,1531.37000,242900
2019.09.03 15:00,1531.37000,1534.94000,1530.17000,1532.43000,473480
2019.09.03 16:00,1532.44000,1538.50000,1531.53000,1536.83000,948430
2019.09.03 17:00,1536.82000,1546.30000,1536.38000,1544.49000,1167750
2019.09.03 18:00,1544.49000,1549.76000,1544.18000,1548.90000,844350
2019.09.03 19:00,1548.90000,1549.10000,1543.08000,1546.00000,450500
2019.09.03 20:00,1546.01000,1547.84000,1545.59000,1546.91000,293350
2019.09.03 21:00,1546.91000,1547.38000,1543.27000,1543.74000,198260
2019.09.03 22:00,1543.74000,1547.21000,1542.18000,1545.46000,201460
2019.09.03 23:00,1545.46000,1549.50000,1545.03000,1547.57000,90950
2019.09.04 01:00,1546.59000,1547.22000,1545.13000,1545.38000,62410
2019.09.04 02:00,1545.39000,1550.15000,1545.39000,1549.11000,118480
2019.09.04 03:00,1549.11000,1549.53000,1544.36000,1544.98000,223810
2019.09.04 04:00,1544.99000,1548.83000,1540.85000,1541.36000,545290
