,Open,High,Low,Close,Volume
2018.05.14,1317.92000,1322.37000,1312.98000,1313.36000,210551,0
2018.05.15,1312.95000,1314.89000,1288.71000,1290.57000,275737,0
2018.05.16,1290.11000,1296.92000,1286.40000,1290.74000,279395,0
2018.05.17,1290.25000,1294.41000,1285.12000,1290.85000,265686,0
2018.05.18,1290.53000,1294.24000,1286.09000,1292.64000,221623,0
2018.05.21,1290.52000,1293.16000,1282.09000,1292.66000,235592,0
2018.05.22,1292.10000,1296.26000,1287.98000,1291.33000,254996,0
2018.05.23,1291.27000,1298.53000,1287.94000,1293.40000,326115,0
2018.05.24,1293.64000,1306.64000,1292.77000,1304.76000,259285,0
2018.05.25,1304.30000,1307.80000,1299.89000,1300.80000,276135,0
2018.05.28,1299.62000,1300.36000,1295.54000,1297.67000,166223,0
2018.05.29,1297.42000,1306.56000,1293.02000,1298.64000,365184,0
2018.05.30,1298.25000,1304.37000,1295.90000,1301.31000,380137,0
2018.05.31,1301.25000,1306.47000,1297.70000,1298.11000,329776,0
2018.06.01,1298.63000,1300.64000,1289.36000,1293.47000,289104,0
2018.06.04,1292.53000,1298.10000,1290.26000,1291.86000,240169,0
2018.06.05,1292.09000,1300.56000,1289.81000,1296.41000,254697,0
2018.06.06,1296.18000,1301.83000,1293.81000,1296.51000,237272,0
2018.06.07,1296.40000,1303.15000,1294.89000,1297.09000,269847,0
2018.06.08,1296.82000,1300.57000,1293.34000,1298.71000,243675,0
2018.06.11,1299.77000,1302.24000,1294.12000,1300.24000,194569,0
2018.06.12,1299.77000,1300.57000,1293.19000,1295.78000,200616,0
2018.06.13,1294.91000,1301.24000,1292.02000,1299.50000,219337,0
2018.06.14,1299.13000,1309.29000,1297.54000,1302.09000,268830,0
2018.06.15,1302.21000,1303.14000,1275.46000,1280.22000,282836,0
2018.06.18,1277.47000,1282.44000,1276.99000,1278.33000,182341,0
2018.06.19,1278.10000,1284.08000,1270.45000,1274.44000,284468,0
2018.06.20,1274.70000,1276.43000,1267.66000,1267.94000,234514,0
2018.06.21,1267.54000,1270.13000,1261.37000,1267.08000,269045,0
2018.06.22,1266.56000,1271.22000,1266.36000,1269.22000,211025,0
2018.06.25,1270.08000,1272.58000,1264.49000,1265.45000,225148,0
2018.06.26,1265.53000,1267.66000,1254.76000,1258.81000,242278,0
2018.06.27,1258.80000,1260.11000,1250.73000,1252.02000,290991,0
2018.06.28,1251.07000,1254.27000,1245.96000,1248.17000,273433,0
2018.06.29,1247.13000,1255.64000,1246.14000,1252.90000,261186,0
2018.07.02,1251.42000,1254.20000,1239.69000,1241.88000,231608,0
2018.07.03,1241.87000,1256.88000,1237.95000,1252.69000,249765,0
2018.07.04,1251.39000,1261.10000,1251.39000,1256.62000,168715,0
2018.07.05,1256.27000,1259.76000,1251.31000,1257.62000,238773,0
2018.07.06,1256.58000,1258.88000,1252.81000,1254.67000,214306,0
2018.07.09,1255.20000,1265.95000,1254.79000,1257.63000,184551,0
2018.07.10,1257.31000,1260.37000,1247.36000,1255.48000,202307,0
2018.07.11,1255.75000,1256.92000,1241.55000,1242.07000,262318,0
2018.07.12,1242.00000,1248.56000,1241.33000,1247.07000,203629,0
2018.07.13,1247.02000,1248.13000,1236.50000,1241.24000,207546,0
2018.07.16,1240.71000,1245.57000,1238.34000,1240.89000,166349,0
2018.07.17,1240.43000,1245.01000,1226.09000,1227.60000,224441,0
2018.07.18,1226.76000,1229.15000,1221.07000,1227.48000,207543,0
2018.07.19,1227.09000,1229.13000,1211.53000,1222.72000,290289,0
2018.07.20,1222.98000,1232.28000,1215.68000,1231.61000,318782,0
2018.07.23,1230.52000,1235.15000,1222.26000,1224.49000,252268,0
2018.07.24,1223.45000,1229.53000,1218.14000,1224.40000,256993,0
2018.07.25,1223.50000,1234.18000,1223.27000,1231.45000,252274,0
2018.07.26,1231.01000,1235.25000,1222.36000,1222.56000,241630,0
2018.07.27,1221.96000,1227.34000,1217.56000,1222.97000,204027,0
2018.07.30,1221.32000,1225.09000,1219.01000,1221.44000,164443,0
2018.07.31,1221.25000,1228.62000,1213.99000,1223.70000,247351,0
2018.08.01,1222.69000,1224.83000,1215.80000,1215.94000,231032,0
2018.08.02,1215.02000,1221.15000,1207.10000,1207.75000,230822,0
2018.08.03,1207.34000,1220.05000,1204.50000,1213.29000,237005,0
2018.08.06,1213.47000,1217.88000,1206.37000,1207.34000,183484,0
2018.08.07,1206.54000,1216.15000,1206.54000,1210.95000,187847,0
2018.08.08,1210.03000,1215.87000,1206.48000,1213.65000,210351,0
2018.08.09,1213.07000,1217.29000,1210.77000,1212.30000,217595,0
2018.08.10,1211.41000,1217.11000,1205.75000,1211.55000,321526,0
2018.08.13,1210.67000,1213.86000,1191.66000,1193.53000,311036,0
2018.08.14,1193.88000,1198.73000,1192.05000,1193.93000,233806,0
2018.08.15,1193.47000,1194.71000,1173.10000,1174.67000,311077,0
2018.08.16,1174.79000,1182.08000,1160.20000,1174.04000,356958,0
2018.08.17,1173.25000,1185.03000,1171.92000,1184.33000,269164,0
2018.08.20,1183.33000,1190.87000,1182.80000,1190.48000,207396,0
2018.08.21,1190.18000,1197.03000,1187.66000,1196.06000,238514,0
2018.08.22,1195.92000,1201.60000,1192.57000,1195.44000,237343,0
2018.08.23,1195.91000,1196.62000,1183.90000,1185.19000,242357,0
2018.08.24,1184.99000,1208.57000,1183.14000,1206.01000,267902,0
2018.08.27,1207.01000,1212.41000,1203.09000,1211.25000,207725,0
